pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-150.0,z,20,3,83,3,,,,,352.49178740009665,353.4917224999517,353.4917224999517,353.4917224999517,353.4917224999517,353.4917224999517,354.49174239998683,354.49174239998683,z,1,0.436723499558866,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,21,0,84,0,,,,,354.95811270037666,355.9581134002656,355.9581134002656,355.9581134002656,355.9581134002656,355.9581134002656,356.9583276002668,356.9583276002668,x,1,0.6860837996937335,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,21,1,85,1,,,,,357.67499900003895,358.6749007999897,358.6749007999897,358.6749007999897,358.6749007999897,358.6749007999897,359.6749454000965,359.6749454000965,v,1,0.6993503994308412,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,21,2,86,2,,,,,360.39155720034614,361.391637600027,361.391637600027,361.391637600027,361.391637600027,361.391637600027,362.3915419001132,362.3915419001132,c,1,0.850515800062567,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,21,3,87,3,,,,,363.2580667003058,364.2591528999619,364.2591528999619,364.2591528999619,364.2591528999619,364.2591528999619,365.2579135000706,365.2579135000706,z,1,0.4628597996197641,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,22,0,88,0,,,,,365.74140040017664,366.74128450034186,366.74128450034186,366.74128450034186,366.74128450034186,366.74128450034186,367.74129369994625,367.74129369994625,x,1,0.5668483995832503,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,22,1,89,1,,,,,368.3245601002127,369.32469810033217,369.32469810033217,369.32469810033217,369.32469810033217,369.32469810033217,370.3245562999509,370.3245562999509,v,1,0.9750672997906804,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,22,2,90,2,,,,,371.3245950001292,372.32455010013655,372.32455010013655,372.32455010013655,372.32455010013655,372.32455010013655,373.32426760019735,373.32426760019735,c,1,1.008726299740374,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,22,3,91,3,,,,,374.3592330003157,375.35768100013956,375.35768100013956,375.35768100013956,375.35768100013956,375.3744128001854,376.3576430003159,376.3576430003159,z,1,0.5389064997434616,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,23,0,92,0,,,,,376.92428630031645,377.9242321001366,377.9242321001366,377.9242321001366,377.9242321001366,377.9242321001366,378.9242939003743,378.9242939003743,x,1,0.870073199737817,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,23,1,93,1,,,,,379.824392599985,380.82423799997196,380.82423799997196,380.82423799997196,380.82423799997196,380.82423799997196,381.82412670040503,381.82412670040503,v,1,0.6294420999474823,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
